user_id,anime_id,rating,title,img_url,link
481,7669,9,"""Bungaku Shoujo"" Kyou no Oyatsu: Hatsukoi",https://cdn.myanimelist.net/images/anime/2/79900.jpg,https://myanimelist.net/anime/7669/Bungaku_Shoujo_Kyou_no_Oyatsu__Hatsukoi
481,8481,10,"""Bungaku Shoujo"" Memoire",https://cdn.myanimelist.net/images/anime/6/26770.jpg,https://myanimelist.net/anime/8481/Bungaku_Shoujo_Memoire
481,6408,10,"""Bungaku Shoujo"" Movie",https://cdn.myanimelist.net/images/anime/8/81162.jpg,https://myanimelist.net/anime/6408/Bungaku_Shoujo_Movie
1033,2928,8,.hack//G.U. Returner,https://cdn.myanimelist.net/images/anime/11/23181.jpg,https://myanimelist.net/anime/2928/hack__GU_Returner
1033,3269,8,.hack//G.U. Trilogy,https://cdn.myanimelist.net/images/anime/4/23083.jpg,https://myanimelist.net/anime/3269/hack__GU_Trilogy
128,4469,8,.hack//G.U. Trilogy: Parody Mode,https://cdn.myanimelist.net/images/anime/10/8661.jpg,https://myanimelist.net/anime/4469/hack__GU_Trilogy__Parody_Mode
1033,454,8,.hack//Gift,https://cdn.myanimelist.net/images/anime/2/23085.jpg,https://myanimelist.net/anime/454/hack__Gift
1033,1143,9,.hack//Intermezzo,https://cdn.myanimelist.net/images/anime/12/66499.jpg,https://myanimelist.net/anime/1143/hack__Intermezzo
855,299,8,.hack//Liminality,https://cdn.myanimelist.net/images/anime/7/23079.jpg,https://myanimelist.net/anime/299/hack__Liminality
344,9332,3,.hack//Quantum,https://cdn.myanimelist.net/images/anime/5/28371.jpg,https://myanimelist.net/anime/9332/hack__Quantum
128,10390,8,.hack//Quantum: Sore ike! Bokura no Chimuchimu-chan!!,https://cdn.myanimelist.net/images/anime/4/29050.jpg,https://myanimelist.net/anime/10390/hack__Quantum__Sore_ike_Bokura_no_Chimuchimu-chan
1154,873,7,.hack//Roots,https://cdn.myanimelist.net/images/anime/3/13050.jpg,https://myanimelist.net/anime/873/hack__Roots
138,48,6,.hack//Sign,https://cdn.myanimelist.net/images/anime/1443/94665.jpg,https://myanimelist.net/anime/48/hack__Sign
855,298,9,.hack//Tasogare no Udewa Densetsu,https://cdn.myanimelist.net/images/anime/4/78321.jpg,https://myanimelist.net/anime/298/hack__Tasogare_no_Udewa_Densetsu
128,1994,8,.hack//Tasogare no Udewa Densetsu: Offline de Aimashou,https://cdn.myanimelist.net/images/anime/2/44554.jpg,https://myanimelist.net/anime/1994/hack__Tasogare_no_Udewa_Densetsu__Offline_de_Aimashou
128,11375,9,.hack//The Movie: Sekai no Mukou ni,https://cdn.myanimelist.net/images/anime/2/35633.jpg,https://myanimelist.net/anime/11375/hack__The_Movie__Sekai_no_Mukou_ni
1033,1487,8,.hack//Unison,https://cdn.myanimelist.net/images/anime/2/23078.jpg,https://myanimelist.net/anime/1487/hack__Unison
128,15219,8,.hack//Versus: The Thanatos Report,https://cdn.myanimelist.net/images/anime/10/42325.jpg,https://myanimelist.net/anime/15219/hack__Versus__The_Thanatos_Report
159,11755,8,009 Re:Cyborg,https://cdn.myanimelist.net/images/anime/9/40189.jpg,https://myanimelist.net/anime/11755/009_Re_Cyborg
288,1583,6,009-1,https://cdn.myanimelist.net/images/anime/11/19998.jpg,https://myanimelist.net/anime/1583/009-1
1158,5525,9,07-Ghost,https://cdn.myanimelist.net/images/anime/3/22605.jpg,https://myanimelist.net/anime/5525/07-Ghost
958,6060,7,1-gatsu ni wa Christmas,https://cdn.myanimelist.net/images/anime/11/46845.jpg,https://myanimelist.net/anime/6060/1-gatsu_ni_wa_Christmas
522,6682,6,11eyes,https://cdn.myanimelist.net/images/anime/6/73520.jpg,https://myanimelist.net/anime/6682/11eyes
271,20557,4,11eyes Picture Drama,https://cdn.myanimelist.net/images/anime/6/54569.jpg,https://myanimelist.net/anime/20557/11eyes_Picture_Drama
1088,7739,7,11eyes: Momoiro Genmutan,https://cdn.myanimelist.net/images/anime/12/22784.jpg,https://myanimelist.net/anime/7739/11eyes__Momoiro_Genmutan
611,23579,6,12-sai.,https://cdn.myanimelist.net/images/anime/6/61783.jpg,https://myanimelist.net/anime/23579/12-sai
692,32601,10,12-sai.: Chicchana Mune no Tokimeki,https://cdn.myanimelist.net/images/anime/11/78391.jpg,https://myanimelist.net/anime/32601/12-sai__Chicchana_Mune_no_Tokimeki
789,5762,6,15 Bishoujo Hyouryuuki,https://cdn.myanimelist.net/images/anime/13/31333.jpg,https://myanimelist.net/anime/5762/15_Bishoujo_Hyouryuuki
631,29347,6,20-dai no Heya-hen,https://cdn.myanimelist.net/images/anime/3/81169.jpg,https://myanimelist.net/anime/29347/20-dai_no_Heya-hen
820,2467,9,3 Choume no Tama: Uchi no Tama Shirimasen ka?,https://cdn.myanimelist.net/images/anime/9/74055.jpg,https://myanimelist.net/anime/2467/3_Choume_no_Tama__Uchi_no_Tama_Shirimasen_ka
271,28789,7,3-gatsu no Lion meets Bump of Chicken,https://cdn.myanimelist.net/images/anime/13/69921.jpg,https://myanimelist.net/anime/28789/3-gatsu_no_Lion_meets_Bump_of_Chicken
1167,30829,6,30-bu de Wakaru! Kore made no Love Live! TV Anime,https://cdn.myanimelist.net/images/anime/6/74193.jpg,https://myanimelist.net/anime/30829/30-bu_de_Wakaru_Kore_made_no_Love_Live_TV_Anime
706,9624,7,30-sai no Hoken Taiiku,https://cdn.myanimelist.net/images/anime/2/81172.jpg,https://myanimelist.net/anime/9624/30-sai_no_Hoken_Taiiku
511,12131,8,30-sai no Hoken Taiiku Specials,https://cdn.myanimelist.net/images/anime/4/55889.jpg,https://myanimelist.net/anime/12131/30-sai_no_Hoken_Taiiku_Specials
1105,7113,10,30th Gundam Perfect Mission,https://cdn.myanimelist.net/images/anime/9/63385.jpg,https://myanimelist.net/anime/7113/30th_Gundam_Perfect_Mission
789,29809,8,3Ping Lovers!☆Ippu Nisai no Sekai e Youkoso♪ The Animation,https://cdn.myanimelist.net/images/anime/1384/103789.jpg,https://myanimelist.net/anime/29809/3Ping_Lovers%E2%98%86Ippu_Nisai_no_Sekai_e_Youkoso%E2%99%AA_The_Animation
208,300,5,3x3 Eyes,https://cdn.myanimelist.net/images/anime/4/26940.jpg,https://myanimelist.net/anime/300/3x3_Eyes
1180,1225,4,3x3 Eyes: Seima Densetsu,https://cdn.myanimelist.net/images/anime/7/12744.jpg,https://myanimelist.net/anime/1225/3x3_Eyes__Seima_Densetsu
1145,13971,6,663114,https://cdn.myanimelist.net/images/anime/2/68973.jpg,https://myanimelist.net/anime/13971/663114
271,20913,7,6♥Princess,https://cdn.myanimelist.net/images/anime/12/55347.jpg,https://myanimelist.net/anime/20913/6%E2%99%A5Princess
425,32998,6,91 Days,https://cdn.myanimelist.net/images/anime/13/80515.jpg,https://myanimelist.net/anime/32998/91_Days
963,33964,6,91 Days Recap,https://cdn.myanimelist.net/images/anime/13/81707.jpg,https://myanimelist.net/anime/33964/91_Days_Recap
167,320,8,A Kite,https://cdn.myanimelist.net/images/anime/5/85959.jpg,https://myanimelist.net/anime/320/A_Kite
1158,9776,7,A-Channel,https://cdn.myanimelist.net/images/anime/5/29687.jpg,https://myanimelist.net/anime/9776/A-Channel
154,11339,7,A-Channel+smile,https://cdn.myanimelist.net/images/anime/12/35321.jpg,https://myanimelist.net/anime/11339/A-Channel_smile
154,10737,7,A-Channel: +A-Channel,https://cdn.myanimelist.net/images/anime/9/29573.jpg,https://myanimelist.net/anime/10737/A-Channel___A-Channel
1191,1349,6,A.D. Police (TV),https://cdn.myanimelist.net/images/anime/2/15440.jpg,https://myanimelist.net/anime/1349/AD_Police_TV
